Metabolite,baseMean,FC,log2FC,Test,Stat,pvalue,adj_pvalue,Significant,Direction,abs_log2FC,neg_log10_adj_pval,Colour
POS.376.235@7.46,33166.807339449544,2.2821531462452067,1.1903956084166951,Mann-Whitney U,2354.0,1.5436685183975309e-06,1.7744883536405684e-05,True,Up,1.1903956084166951,4.750926846677748,red
POS.354.2763@8.199997,276891.77,0.04227463975877404,-4.564063728940639,Mann-Whitney U,730.0,1.841360463242156e-06,2.01499024866499e-05,True,Down,4.564063728940639,4.695727051240605,blue
POS.503.2552@6.1510005,15842.179487179486,3.2493448129918794,1.7001488472678365,Mann-Whitney U,2344.0,2.069682094486431e-06,2.224755620150016e-05,True,Up,1.7001488472678365,4.652717687446753,red
POS.243.1726@3.0220025,107334.35294117648,237.82345771022136,7.893747212062388,Mann-Whitney U,2340.0,2.325065572786268e-06,2.434637628515276e-05,True,Up,7.893747212062388,4.613565670033557,red
NEG.276.0487@5.462813,10530.22619047619,0.29141157201936607,-1.7788699266013779,Mann-Whitney U,741.0,2.536184475246362e-06,2.6255273374425407e-05,True,Down,1.7788699266013779,4.580783455404487,blue
POS.trimethylamine N-oxide (TMAO),682625.6396396396,2.160390316886473,1.1112919870948328,Mann-Whitney U,2337.0,2.536184475246362e-06,2.6255273374425407e-05,True,Up,1.1112919870948328,4.580783455404487,red
POS.296.2702@7.13599,11806.739583333334,2.079036574294552,1.0559151382295906,Mann-Whitney U,2334.0,2.7656379854477334e-06,2.8229649352861456e-05,True,Up,1.0559151382295906,4.549294516293858,red
POS.387.0801@2.122997,90622.88888888889,90.0843292309637,6.493204256341493,Mann-Whitney U,2329.0,3.192652873564522e-06,3.179011422779891e-05,True,Up,6.493204256341493,4.497707911581496,red
POS.386.1752@5.6569977,1204888.2470588235,109.93610338190418,6.780521439723929,Mann-Whitney U,2327.0,3.3810582305090545e-06,3.3571052294209796e-05,True,Up,6.780521439723929,4.474035045454219,red
NEG.354.0779@5.574991,55037.75862068965,0.4753694954346816,-1.072878766695584,Mann-Whitney U,759.0,4.245234827906397e-06,4.1033516479816744e-05,True,Down,1.072878766695584,4.386861263380638,blue
NEG.513.2752@6.0702333,1992785.1650485436,3.582987551704829,1.8411630312335758,Mann-Whitney U,2313.0,5.028371452986765e-06,4.746991081524293e-05,True,Up,1.8411630312335758,4.323581584217689,red
POS.600.2567@4.197004,15174.60909090909,0.47569634082752044,-1.0718871671070578,Mann-Whitney U,766.0,5.171668919492821e-06,4.869654145382904e-05,True,Down,1.0718871671070578,4.312501882334749,blue
POS.193.1083@3.3049946,155393.6568627451,2.339101900241568,1.2259547123833496,Mann-Whitney U,2307.0,5.948800590757557e-06,5.474098321394075e-05,True,Up,1.2259547123833496,4.261687406404262,red
NEG.206.094@5.2627583,55385.3870967742,2.2385747482091953,1.1625804920499354,Mann-Whitney U,2305.0,6.289949023888879e-06,5.6874874052235914e-05,True,Up,1.1625804920499354,4.245079552066339,red
POS.546.3904@9.03002,34621.02702702703,0.22618696554254278,-2.1444123012313954,Mann-Whitney U,776.0,6.8369860681116845e-06,6.076579812731458e-05,True,Down,2.1444123012313954,4.216340793489979,blue
NEG.370.1626@4.8102107,114606.97752808989,2.0085011568941895,1.0061192923741835,Mann-Whitney U,2301.0,7.0292365002763574e-06,6.232247641607554e-05,True,Up,1.0061192923741835,4.205355298075085,red
NEG.513.2852@6.0676303,1984098.9158878506,3.7709848174759477,1.914941341994758,Mann-Whitney U,2299.0,7.4293614901914144e-06,6.523516450664462e-05,True,Up,1.914941341994758,4.185518238096368,red
NEG.601.2617@6.403374,69468.91764705883,2.7600396535263623,1.464688994371155,Mann-Whitney U,2295.0,8.2959065142995e-06,7.197686509073184e-05,True,Up,1.464688994371155,4.142807072707352,red
POS.Glycodeoxycholic acid_FE,69781.70967741935,3.8488410776479047,1.9444241021119337,Mann-Whitney U,2293.0,8.764616006789258e-06,7.514884877350602e-05,True,Up,1.9444241021119337,4.124077668106259,red
NEG.RESORCINOL MONOACETATE,254064.63736263735,7.819411850732641,2.967060097054124,Mann-Whitney U,2291.0,9.258568863863896e-06,7.882762836429915e-05,True,Up,2.967060097054124,4.10332153957681,red
POS.350.1181@0.7580014,8403.355140186915,0.4600732601260002,-1.1200644867502056,Mann-Whitney U,798.0,1.248724166556098e-05,0.000101344117214486,True,Down,1.1200644867502056,3.994201456003408,blue
POS.230.1622@2.4280014,13578.0206185567,0.3457318705718849,-1.5322744933215298,Mann-Whitney U,800.5,1.3357668700599726e-05,0.00010792759366959069,True,Down,1.5322744933215298,3.9668675057677687,blue
NEG.601.2614@6.404257,71826.55670103093,2.090397593519727,1.0637773689309453,Mann-Whitney U,2275.0,1.4287033663503761e-05,0.00011467390015376147,True,Up,1.0637773689309453,3.940535416527944,red
NEG.721.2631@6.405073,42186.12871287129,2.5892018778306465,1.3725074553078043,Mann-Whitney U,2274.0,1.4675526316849445e-05,0.00011701885754616931,True,Up,1.3725074553078043,3.931744146216896,red
NEG.669.2489@6.403957,47209.11827956989,2.515775814900939,1.331003366914753,Mann-Whitney U,2274.0,1.4675526316849445e-05,0.00011701885754616931,True,Up,1.331003366914753,3.931744146216896,red
